pincode,city_tier
400017,Metro
400018,Metro
400019,Metro
400020,Metro
400021,Metro
400022,Metro
400023,Metro
400024,Metro
400025,Metro
400026,Metro
400027,Metro
400028,Metro
400029,Metro
400030,Metro
400031,Metro
400032,Metro
400033,Metro
400034,Metro
400035,Metro
400036,Metro
400037,Metro
400038,Metro
400039,Metro
400040,Metro
400041,Metro
400042,Metro
400043,Metro
400044,Metro
400045,Metro
400046,Metro
400047,Metro
400048,Metro
400049,Metro
400050,Metro
400051,Metro
400052,Metro
400053,Metro
400054,Metro
400055,Metro
400056,Metro
400057,Metro
400058,Metro
400059,Metro
400060,Metro
400061,Metro
400062,Metro
400063,Metro
400064,Metro
400065,Metro
400066,Metro
400067,Metro
400068,Metro
400069,Metro
400070,Metro
400071,Metro
400072,Metro
400074,Metro
400075,Metro
400076,Metro
400077,Metro
400078,Metro
400079,Metro
400080,Metro
400081,Metro
400082,Metro
400083,Metro
400084,Metro
400085,Metro
400086,Metro
400087,Metro
400088,Metro
400089,Metro
400090,Metro
400091,Metro
400092,Metro
400093,Metro
400094,Metro
400095,Metro
400096,Metro
400097,Metro
400098,Metro
400099,Metro
400101,Metro
400102,Metro
400103,Metro
400104,Metro
400105,Metro
400115,Metro
400116,Metro
400117,Metro
400118,Metro
400127,Metro
400140,Metro
400144,Metro
400148,Metro
400152,Metro
400160,Metro
400206,Metro
400208,Metro
400218,Metro
400401,Metro
400502,Metro
400600,Metro
400601,Metro
400602,Metro
400603,Metro
400604,Metro
400605,Metro
400606,Metro
400607,Metro
400608,Metro
400609,Metro
400610,Metro
400611,Metro
400612,Metro
400613,Metro
400614,Metro
400615,Metro
400670,Metro
400691,Metro
400701,Metro
400703,Metro
400705,Metro
400706,Metro
400708,Metro
400709,Metro
400710,Metro
400771,Metro
400798,Metro
400901,Metro
401101,Metro
401103,Metro
401104,Metro
401105,Metro
401106,Metro
401107,Metro
401111,Metro
401122,Metro
401123,Metro
401128,Metro
401129,Metro
401138,Metro
401145,Metro
401148,Metro
401158,Metro
401197,Metro
401201,Metro
401202,Metro
401203,Metro
401204,Metro
401205,Metro
401207,Metro
401208,Metro
401209,Metro
401210,Metro
401301,Metro
401302,Metro
401303,Metro
401304,Metro
401305,Metro
401306,Metro
401308,Metro
401313,Metro
401405,Metro
401406,Metro
401407,Metro
401410,Metro
401501,Metro
401503,Metro
401504,Metro
401505,Metro
401546,Metro
401604,Metro
401605,Metro
401606,Metro
401607,Metro
401608,Metro
401701,Metro
410061,Metro
410206,Metro
410208,Metro
410209,Metro
410210,Metro
410217,Metro
410218,Metro
410221,Metro
410410,Metro
410411,Metro
410416,Metro
410428,Metro
410440,Metro
410501,Metro
410504,Metro
410505,Metro
410506,Metro
410507,Metro
410509,Metro
410514,Metro
410613,Metro
411000,Metro
411001,Metro
411002,Metro
411003,Metro
411004,Metro
411005,Metro
411006,Metro
411007,Metro
411008,Metro
411009,Metro
411010,Metro
411011,Metro
411012,Metro
411013,Metro
411014,Metro
411015,Metro
411016,Metro
411017,Metro
411018,Metro
411019,Metro
411020,Metro
411021,Metro
411022,Metro
411023,Metro
411024,Metro
411025,Metro
411026,Metro
411027,Metro
411028,Metro
411029,Metro
411030,Metro
411031,Metro
411032,Metro
411033,Metro
411034,Metro
411035,Metro
411036,Metro
411037,Metro
411038,Metro
411039,Metro
411040,Metro
411041,Metro
411042,Metro
411043,Metro
411044,Metro
411045,Metro
411046,Metro
411047,Metro
411048,Metro
411049,Metro
411051,Metro
411052,Metro
411053,Metro
411054,Metro
411055,Metro
411056,Metro
411057,Metro
411058,Metro
411059,Metro
411060,Metro
411061,Metro
411062,Metro
411063,Metro
411066,Metro
411067,Metro
411068,Metro
411069,Metro
411071,Metro
411072,Metro
411073,Metro
411076,Metro
411077,Metro
411078,Metro
411080,Metro
411086,Metro
411090,Metro
411092,Metro
411097,Metro
411100,Metro
411105,Metro
411111,Metro
411125,Metro
411201,Metro
411208,Metro
411230,Metro
411258,Metro
411406,Metro
411527,Metro
411601,Metro
411925,Metro
412101,Metro
412102,Metro
412104,Metro
412105,Metro
412106,Metro
412107,Metro
412108,Metro
412109,Metro
412111,Metro
412112,Metro
412113,Metro
412114,Metro
412115,Metro
412124,Metro
412201,Metro
412202,Metro
412205,Metro
412212,Metro
412215,Metro
412216,Metro
412217,Metro
412224,Metro
412225,Metro
412302,Metro
412305,Metro
412307,Metro
412308,Metro
412309,Metro
412310,Metro
412311,Metro
412312,Metro
412407,Metro
412413,Metro
412415,Metro
413104,Metro
413105,Metro
413114,Metro
413117,Metro
413124,Metro
413130,Metro
413802,Metro
415005,Metro
415038,Metro
416544,Metro
421006,Metro
421021,Metro
421031,Metro
421102,Metro
421103,Metro
421137,Metro
421201,Metro
421202,Metro
421203,Metro
421204,Metro
421205,Metro
421206,Metro
421207,Metro
421301,Metro
421304,Metro
421306,Metro
421403,Metro
421405,Metro
421567,Metro
421604,Metro
421605,Metro
431019,Metro
431030,Metro
431033,Metro
440216,Metro
441990,Metro
444014,Metro
444444,Metro
500001,Metro
500002,Metro
500003,Metro
500004,Metro
500005,Metro
500006,Metro
500007,Metro
500008,Metro
500009,Metro
500010,Metro
500011,Metro
500012,Metro
500013,Metro
500014,Metro
500015,Metro
500016,Metro
500017,Metro
500018,Metro
500019,Metro
500020,Metro
500021,Metro
500022,Metro
500023,Metro
500024,Metro
500025,Metro
500026,Metro
500027,Metro
500028,Metro
500029,Metro
500030,Metro
500031,Metro
500032,Metro
500033,Metro
500034,Metro
500035,Metro
500036,Metro
500037,Metro
500038,Metro
500039,Metro
500040,Metro
500041,Metro
500042,Metro
500043,Metro
500044,Metro
500045,Metro
500046,Metro
500047,Metro
500048,Metro
500049,Metro
500050,Metro
500051,Metro
500052,Metro
500053,Metro
500054,Metro
500055,Metro
500056,Metro
500057,Metro
500058,Metro
500059,Metro
500060,Metro
500061,Metro
500062,Metro
500063,Metro
500064,Metro
500065,Metro
500066,Metro
500067,Metro
500068,Metro
500069,Metro
500070,Metro
500071,Metro
500072,Metro
500073,Metro
500074,Metro
500075,Metro
500076,Metro
500077,Metro
500078,Metro
500079,Metro
500080,Metro
500081,Metro
500082,Metro
500083,Metro
500084,Metro
500085,Metro
500086,Metro
500087,Metro
500088,Metro
500089,Metro
500090,Metro
500091,Metro
500092,Metro
500093,Metro
500094,Metro
500095,Metro
500096,Metro
500097,Metro
500098,Metro
500099,Metro
500101,Metro
500102,Metro
500123,Metro
500133,Metro
500138,Metro
500146,Metro
500167,Metro
500170,Metro
500171,Metro
500177,Metro
500178,Metro
500195,Metro
500252,Metro
500253,Metro
500258,Metro
500264,Metro
500265,Metro
500266,Metro
500267,Metro
500361,Metro
500380,Metro
500409,Metro
500457,Metro
500463,Metro
500472,Metro
500475,Metro
500476,Metro
500482,Metro
500483,Metro
500484,Metro
500486,Metro
500488,Metro
500556,Metro
500587,Metro
500593,Metro
500594,Metro
500605,Metro
500659,Metro
500660,Metro
500661,Metro
500762,Metro
500768,Metro
500789,Metro
500855,Metro
500872,Metro
500873,Metro
500890,Metro
500960,Metro
500963,Metro
500991,Metro
501203,Metro
501218,Metro
501301,Metro
501323,Metro
501401,Metro
501504,Metro
501505,Metro
501510,Metro
501511,Metro
501512,Metro
502032,Metro
502050,Metro
502205,Metro
502307,Metro
502319,Metro
502320,Metro
502324,Metro
502325,Metro
502329,Metro
503028,Metro
503291,Metro
520037,Metro
521313,Metro
530067,Metro
530068,Metro
530081,Metro
533256,Metro
533560,Metro
550056,Metro
550076,Metro
560000,Metro
560001,Metro
560002,Metro
560003,Metro
560004,Metro
560005,Metro
560006,Metro
560007,Metro
560008,Metro
560009,Metro
560010,Metro
560011,Metro
560012,Metro
560013,Metro
560014,Metro
560015,Metro
560016,Metro
560017,Metro
560018,Metro
560019,Metro
560020,Metro
560021,Metro
560022,Metro
560023,Metro
560024,Metro
560025,Metro
560026,Metro
560027,Metro
560028,Metro
560029,Metro
560030,Metro
560031,Metro
560032,Metro
560033,Metro
560034,Metro
560035,Metro
560036,Metro
560037,Metro
560038,Metro
560039,Metro
560040,Metro
560041,Metro
560042,Metro
560043,Metro
560044,Metro
560045,Metro
560046,Metro
560047,Metro
560048,Metro
560049,Metro
560050,Metro
560051,Metro
560052,Metro
560053,Metro
560054,Metro
560055,Metro
560056,Metro
560057,Metro
560058,Metro
560059,Metro
560060,Metro
560061,Metro
560062,Metro
560063,Metro
560064,Metro
560065,Metro
560066,Metro
560067,Metro
560068,Metro
560069,Metro
560070,Metro
560071,Metro
560072,Metro
560073,Metro
560074,Metro
560075,Metro
560076,Metro
560077,Metro
560078,Metro
560079,Metro
560080,Metro
560081,Metro
560082,Metro
560083,Metro
560084,Metro
560085,Metro
560086,Metro
560087,Metro
560088,Metro
560089,Metro
560090,Metro
560091,Metro
560092,Metro
560093,Metro
560094,Metro
560095,Metro
560096,Metro
560097,Metro
560098,Metro
560099,Metro
560100,Metro
560101,Metro
560102,Metro
560103,Metro
560104,Metro
560105,Metro
560106,Metro
560107,Metro
560108,Metro
560109,Metro
560110,Metro
560112,Metro
560140,Metro
560168,Metro
560242,Metro
560300,Metro
560607,Metro
560963,Metro
560964,Metro
560999,Metro
561103,Metro
561116,Metro
561119,Metro
561123,Metro
561157,Metro
561203,Metro
561204,Metro
561205,Metro
561214,Metro
561215,Metro
561226,Metro
561227,Metro
561229,Metro
561230,Metro
562099,Metro
562100,Metro
562106,Metro
562107,Metro
562108,Metro
562109,Metro
562110,Metro
562111,Metro
562112,Metro
562113,Metro
562114,Metro
562115,Metro
562117,Metro
562119,Metro
562121,Metro
562122,Metro
562123,Metro
562124,Metro
562125,Metro
562126,Metro
562128,Metro
562130,Metro
562132,Metro
562134,Metro
562136,Metro
562137,Metro
562138,Metro
562139,Metro
562140,Metro
562142,Metro
562143,Metro
562144,Metro
562145,Metro
562147,Metro
562148,Metro
